Date,Price,Open,High,Low,Vol.,Change %
08/16/2022,"1,295.10","1,293.72","1,297.38","1,290.52",155.26K,0.10%
08/15/2022,"1,293.79","1,287.13","1,294.11","1,285.02",149.05K,1.00%
08/12/2022,"1,280.96","1,271.39","1,280.96","1,267.14",113.93K,0.68%
08/11/2022,"1,272.33","1,282.09","1,289.29","1,267.04",175.28K,-0.38%
08/10/2022,"1,277.15","1,279.58","1,283.06","1,276.07",117.05K,-0.33%
08/09/2022,"1,281.44","1,281.38","1,285.52","1,275.12",161.80K,0.37%
08/08/2022,"1,276.70","1,270.27","1,280.13","1,270.13",141.95K,0.36%
08/05/2022,"1,272.06","1,274.48","1,276.19","1,265.93",172.67K,-0.44%
08/04/2022,"1,277.73","1,273.71","1,281.46","1,270.66",164.09K,0.62%
08/03/2022,"1,269.83","1,259.26","1,271.39","1,256.39",184.35K,0.30%
08/02/2022,"1,265.97","1,256.32","1,266.14","1,248.97",172.18K,0.77%
08/01/2022,"1,256.25","1,233.85","1,256.25","1,233.64",175.84K,1.97%
07/29/2022,"1,232.00","1,243.17","1,243.17","1,232.00",142.29K,-0.33%
07/28/2022,"1,236.14","1,228.73","1,240.65","1,226.95",180.06K,1.37%
07/27/2022,"1,219.43","1,218.13","1,219.43","1,211.42",95.58K,0.08%
07/26/2022,"1,218.49","1,221.43","1,227.10","1,218.11",93.44K,-0.34%
07/25/2022,"1,222.60","1,228.11","1,231.84","1,219.61",94.34K,-0.51%
07/22/2022,"1,228.84","1,238.46","1,241.65","1,228.84",106.14K,-0.52%
07/21/2022,"1,235.25","1,227.31","1,240.91","1,226.88",127.72K,0.79%
07/20/2022,"1,225.62","1,220.25","1,229.62","1,217.45",123.38K,1.15%
07/19/2022,"1,211.70","1,213.55","1,213.64","1,204.61",100.59K,-0.21%
07/18/2022,"1,214.28","1,225.40","1,225.69","1,213.28",104.04K,-0.48%
07/15/2022,"1,220.14","1,224.15","1,228.48","1,217.21",147.67K,-0.15%
07/14/2022,"1,221.94","1,213.73","1,224.01","1,211.14",106.76K,0.41%
07/13/2022,"1,216.94","1,216.83","1,225.85","1,213.41",117.18K,-0.21%
07/12/2022,"1,219.44","1,208.06","1,219.44","1,204.84",88.68K,0.86%
07/11/2022,"1,209.02","1,224.20","1,224.20","1,200.15",131.00K,-1.83%
07/08/2022,"1,231.54","1,235.65","1,236.85","1,225.04",115.99K,0.19%
07/07/2022,"1,229.23","1,212.36","1,229.23","1,209.97",98.64K,1.43%
07/06/2022,"1,211.94","1,241.19","1,241.19","1,211.94",131.18K,-2.42%
07/05/2022,"1,242.05","1,252.48","1,256.47","1,239.80",162.03K,-0.51%
07/04/2022,"1,248.37","1,256.20","1,260.72","1,244.50",112.84K,-0.31%
07/01/2022,"1,252.24","1,247.70","1,255.67","1,225.64",118.89K,0.27%
06/30/2022,"1,248.92","1,273.99","1,276.23","1,248.92",118.01K,-1.92%
06/29/2022,"1,273.40","1,259.83","1,274.73","1,259.41",113.30K,0.00%
06/28/2022,"1,273.41","1,254.35","1,276.21","1,249.57",151.57K,1.33%
06/27/2022,"1,256.67","1,238.23","1,256.67","1,237.79",110.60K,1.72%
06/24/2022,"1,235.47","1,239.54","1,246.22","1,234.72",90.44K,-0.41%
06/23/2022,"1,240.58","1,227.18","1,240.58","1,219.08",105.24K,1.09%
06/22/2022,"1,227.18","1,233.28","1,242.06","1,222.86",142.70K,0.22%
